departure_date,origin_cluster_id,locality,departure_time,destination_cluster_id,distance_meters,static_duration_seconds,traffic_duration_seconds,predicted_arrival_time,arrival_buffer_minutes,status
2026-08-25,V2,Vibhutipura,09:15,OFFICE,9728,1779,2254,2026-08-25T09:52:34+05:30,27.433333333333334,success
2026-08-25,V2,Vibhutipura,09:30,OFFICE,9728,1779,2390,2026-08-25T10:09:50+05:30,10.166666666666666,success
2026-08-25,V2,Vibhutipura,09:45,OFFICE,9728,1779,2411,2026-08-25T10:25:11+05:30,-5.183333333333334,success
2026-08-25,V2,Vibhutipura,10:00,OFFICE,9728,1779,2412,2026-08-25T10:40:12+05:30,-20.2,success
2026-08-25,V3,Vibhutipura,08:30,OFFICE,9579,1938,2192,2026-08-25T09:06:32+05:30,73.46666666666667,success
2026-08-25,V3,Vibhutipura,08:45,OFFICE,9579,1938,2300,2026-08-25T09:23:20+05:30,56.666666666666664,success
2026-08-25,V3,Vibhutipura,09:00,OFFICE,9579,1938,2396,2026-08-25T09:39:56+05:30,40.06666666666667,success
2026-08-25,V3,Vibhutipura,09:15,OFFICE,9579,1938,2521,2026-08-25T09:57:01+05:30,22.983333333333334,success
2026-08-25,V3,Vibhutipura,09:30,OFFICE,9579,1938,2581,2026-08-25T10:13:01+05:30,6.983333333333333,success
2026-08-25,V3,Vibhutipura,09:45,OFFICE,9579,1938,2548,2026-08-25T10:27:28+05:30,-7.466666666666667,success
2026-08-25,V3,Vibhutipura,10:00,OFFICE,9579,1938,2568,2026-08-25T10:42:48+05:30,-22.8,success
2026-08-25,B1,B. Narayanapura,08:30,OFFICE,2724,562,537,2026-08-25T08:38:57+05:30,101.05,success
2026-08-25,B1,B. Narayanapura,08:45,OFFICE,2724,562,534,2026-08-25T08:53:54+05:30,86.1,success
2026-08-25,B1,B. Narayanapura,09:00,OFFICE,2724,562,586,2026-08-25T09:09:46+05:30,70.23333333333333,success
2026-08-25,B1,B. Narayanapura,09:15,OFFICE,2724,562,588,2026-08-25T09:24:48+05:30,55.2,success
2026-08-25,B1,B. Narayanapura,09:30,OFFICE,2724,562,597,2026-08-25T09:39:57+05:30,40.05,success
2026-08-25,B1,B. Narayanapura,09:45,OFFICE,2724,562,616,2026-08-25T09:55:16+05:30,24.733333333333334,success
2026-08-25,B1,B. Narayanapura,10:00,OFFICE,2724,562,643,2026-08-25T10:10:43+05:30,9.283333333333333,success
2026-08-25,B2,B. Narayanapura,08:30,OFFICE,2892,594,586,2026-08-25T08:39:46+05:30,100.23333333333333,success
